"","site","comid","lon","lat","inletoutlet","tocomid","direction"
"148","MDDNR-ET5.1",9408460,-75.9097,38.8065,"outlet",9406534,"up"
"149","MDDNR-ET5.2",9409840,-76.0587,38.5807,"inlet",NA,"dn"
"150","MDDNR-ET5.2",9409840,-76.0587,38.5807,"outlet",NA,"up"
"151","MDDNR-ET6.1",8392820,-75.7031,38.5483,"inlet",NA,"dn"
"152","MDDNR-ET6.1",8392820,-75.7031,38.5483,"outlet",8392650,"up"
"153","MDDNR-ET6.2",8394144,-75.8883,38.3413,"inlet",NA,"dn"
"154","MDDNR-ET6.2",8394144,-75.8883,38.3413,"outlet",NA,"up"
"155","MDDNR-ET7.1",8384627,-75.7879,38.2678,"inlet",NA,"dn"
"156","MDDNR-ET7.1",8384627,-75.7879,38.2678,"outlet",8384451,"up"
"157","MDDNR-ET8.1",8402241,-75.8141,38.1379,"inlet",NA,"dn"
"158","MDDNR-ET8.1",8402241,-75.8141,38.1379,"outlet",8401991,"up"
"159","MDDNR-ET9.1",8402105,-75.8017,38.055,"inlet",NA,"dn"
"160","MDDNR-ET9.1",8402105,-75.8017,38.055,"outlet",NA,"up"
"161","MDDNR-GEO0009",14364970,-79.0447,39.4936,"inlet",14365982,"dn"
"162","MDDNR-GEO0009",14364970,-79.0447,39.4936,"outlet",NA,"up"
"163","MDDNR-GUN0125",11688712,-76.5289,39.4256,"inlet",11689964,"dn"
"164","MDDNR-GUN0125",11688712,-76.5289,39.4256,"outlet",11689966,"up"
"165","MDDNR-GWN0115",11689106,-76.7264,39.3428,"inlet",NA,"dn"
"166","MDDNR-GWN0115",11689106,-76.7264,39.3428,"outlet",NA,"up"
"167","MDDNR-JON0184",11689666,-76.7428,39.4087,"inlet",11690070,"dn"
"168","MDDNR-JON0184",11689666,-76.7428,39.4087,"outlet",NA,"up"
"169","MDDNR-LE1.1",11909588,-76.6018,38.4253,"inlet",NA,"dn"
"170","MDDNR-LE1.1",11909588,-76.6018,38.4253,"outlet",NA,"up"
"171","MDDNR-LE1.2",11909786,-76.5113,38.3789,"inlet",NA,"dn"
"172","MDDNR-LE1.2",11909786,-76.5113,38.3789,"outlet",NA,"up"
