"","site","comid","lon","lat","inletoutlet","tocomid","direction"
"126","KLAMATHTRIBES_WQX-KL0004",24092324,-121.919922,42.32689,"outlet",NA,"up"
"127","KLAMATHTRIBES_WQX-KL0005",24091920,-121.848694,42.369083,"inlet",24091920,"dn"
"128","KLAMATHTRIBES_WQX-KL0005",24091920,-121.848694,42.369083,"outlet",NA,"up"
"129","KLAMATHTRIBES_WQX-KL0006",24091920,-121.943278,42.422083,"inlet",24091920,"dn"
"130","KLAMATHTRIBES_WQX-KL0006",24091920,-121.943278,42.422083,"outlet",NA,"up"
"131","KLAMATHTRIBES_WQX-KL0007",24092410,-121.963083,42.40725,"inlet",24091920,"dn"
"132","KLAMATHTRIBES_WQX-KL0007",24092410,-121.963083,42.40725,"outlet",NA,"up"
"133","KLAMATHTRIBES_WQX-KL0008",24092284,-121.998833,42.441361,"inlet",24091920,"dn"
"134","KLAMATHTRIBES_WQX-KL0008",24092284,-121.998833,42.441361,"outlet",NA,"up"
"135","KLAMATHTRIBES_WQX-KL0009",24092268,-122.028194,42.435722,"inlet",24091920,"dn"
"136","KLAMATHTRIBES_WQX-KL0009",24092268,-122.028194,42.435722,"outlet",NA,"up"
"137","KLAMATHTRIBES_WQX-KL0010",24091894,-121.984278,42.523583,"inlet",24091894,"dn"
"138","KLAMATHTRIBES_WQX-KL0010",24091894,-121.984278,42.523583,"outlet",NA,"up"
"139","KLAMATHTRIBES_WQX-KL0011",24091898,-121.947444,42.560556,"inlet",24091898,"dn"
"140","KLAMATHTRIBES_WQX-KL0011",24091898,-121.947444,42.560556,"outlet",NA,"up"
"141","KLAMATHTRIBES_WQX-SR0040",24084632,-121.005556,42.49672,"inlet",NA,"dn"
"142","KLAMATHTRIBES_WQX-SR0040",24084632,-121.005556,42.49672,"outlet",NA,"up"
"143","KLAMATHTRIBES_WQX-SR0050",24084574,-120.969444,42.376056,"inlet",NA,"dn"
"144","KLAMATHTRIBES_WQX-SR0050",24084574,-120.969444,42.376056,"outlet",NA,"up"
"145","KLAMATHTRIBES_WQX-SR0060",24084438,-121.269861,42.460389,"inlet",NA,"dn"
"146","KLAMATHTRIBES_WQX-SR0060",24084438,-121.269861,42.460389,"outlet",NA,"up"
"147","KLAMATHTRIBES_WQX-SR0070",24084766,-121.27843,42.48522,"inlet",NA,"dn"
"148","KLAMATHTRIBES_WQX-SR0070",24084766,-121.27843,42.48522,"outlet",NA,"up"
"149","KLAMATHTRIBES_WQX-SR0080",948010242,-121.617611,42.5505,"inlet",NA,"dn"
"150","KLAMATHTRIBES_WQX-SR0080",948010242,-121.617611,42.5505,"outlet",NA,"up"
"151","KLAMATHTRIBES_WQX-SR0090",24084310,-121.841861,42.584639,"inlet",NA,"dn"
"152","KLAMATHTRIBES_WQX-SR0090",24084310,-121.841861,42.584639,"outlet",24084336,"up"
"153","KLAMATHTRIBES_WQX-SR0140",24086564,-121.111667,42.456306,"inlet",NA,"dn"
"154","KLAMATHTRIBES_WQX-SR0140",24086564,-121.111667,42.456306,"outlet",NA,"up"
"155","KLAMATHTRIBES_WQX-SR0150",948010134,-121.09544,42.43941,"inlet",NA,"dn"
"156","KLAMATHTRIBES_WQX-SR0150",948010134,-121.09544,42.43941,"outlet",NA,"up"
"157","KLAMATHTRIBES_WQX-WR1000",24084298,-121.864472,42.567806,"inlet",NA,"dn"
"158","KLAMATHTRIBES_WQX-WR1000",24084298,-121.864472,42.567806,"outlet",24084336,"up"
"159","KLAMATHTRIBES_WQX-WR2000",24091964,-122.059471,42.768444,"inlet",NA,"dn"
"160","KLAMATHTRIBES_WQX-WR2000",24091964,-122.059471,42.768444,"outlet",NA,"up"
"161","KLAMATHTRIBES_WQX-WR3000",24091944,-121.993833,42.646611,"inlet",NA,"dn"
"162","KLAMATHTRIBES_WQX-WR3000",24091944,-121.993833,42.646611,"outlet",NA,"up"
"163","KLAMATHTRIBES_WQX-WR4000",24091902,-121.940389,42.581583,"inlet",NA,"dn"
"164","KLAMATHTRIBES_WQX-WR4000",24091902,-121.940389,42.581583,"outlet",NA,"up"
"165","KLAMATHTRIBES_WQX-WR5000",24091982,-121.970969,42.581928,"inlet",NA,"dn"
"166","KLAMATHTRIBES_WQX-WR5000",24091982,-121.970969,42.581928,"outlet",NA,"up"
"167","KLAMATHTRIBES_WQX-WR6000",24081505,-121.915806,42.514528,"inlet",NA,"dn"
"168","KLAMATHTRIBES_WQX-WR6000",24081505,-121.915806,42.514528,"outlet",24081561,"up"
"169","YUROKTEP_WQX-LES",4438380,-124.0725,41.5461,"inlet",NA,"dn"
"170","YUROKTEP_WQX-LES",4438380,-124.0725,41.5461,"outlet",NA,"up"
"171","YUROKTEP_WQX-TG",4438356,-123.9992,41.5161,"inlet",NA,"dn"
"172","YUROKTEP_WQX-TG",4438356,-123.9992,41.5161,"outlet",NA,"up"
"173","YUROKTEP_WQX-TR",8251884,-123.7053,41.1844,"inlet",NA,"dn"
"174","YUROKTEP_WQX-TR",8251884,-123.7053,41.1844,"outlet",NA,"up"
"175","YUROKTEP_WQX-WE",4442674,-123.7055,41.1883,"inlet",NA,"dn"
"176","YUROKTEP_WQX-WE",4442674,-123.7055,41.1883,"outlet",NA,"up"
"177","USGS-14201300",23801360,-122.8217596,45.1003982,"inlet",NA,"dn"
"178","USGS-14201300",23801360,-122.8217596,45.1003982,"outlet",NA,"up"
"179","USGS-14206950",23805270,-122.7548185,45.403452,"inlet",23792815,"dn"
"180","USGS-14206950",23805270,-122.7548185,45.403452,"outlet",NA,"up"
"181","USGS-14211720",23815040,-122.6691667,45.5175,"inlet",NA,"dn"
"182","USGS-14211720",23815040,-122.6691667,45.5175,"outlet",23791015,"up"
"183","USGS-14246900",24520424,-123.1834539,46.1812214,"inlet",NA,"dn"
"184","USGS-14246900",24520424,-123.1834539,46.1812214,"outlet",NA,"up"
"185","USGS-12505450",23107326,-120.186995,46.343463,"inlet",NA,"dn"
"186","USGS-12505450",23107326,-120.186995,46.343463,"outlet",NA,"up"
"187","NOOKSACK_WQX-SW09",23956234,-122.154,48.8384,"inlet",NA,"dn"
"188","NOOKSACK_WQX-SW09",23956234,-122.154,48.8384,"outlet",NA,"up"
"189","USGS-11074000",22563116,-117.6453296,33.8833488,"inlet",NA,"dn"
"190","USGS-11074000",22563116,-117.6453296,33.8833488,"outlet",22563416,"up"
"191","CEDEN-315ABU",17595459,-119.739,34.4051,"inlet",NA,"dn"
"192","CEDEN-315ABU",17595459,-119.739,34.4051,"outlet",NA,"up"
"193","CEDEN-315ATA",17595429,-119.819,34.4235,"inlet",NA,"dn"
"194","CEDEN-315ATA",17595429,-119.819,34.4235,"outlet",NA,"up"
"195","CEDEN-315CRP",17596159,-119.512,34.3935,"inlet",NA,"dn"
"196","CEDEN-315CRP",17596159,-119.512,34.3935,"outlet",NA,"up"
"197","CEDEN-315FMV",17595477,-119.517,34.4069,"inlet",17596223,"dn"
"198","CEDEN-315FMV",17595477,-119.517,34.4069,"outlet",NA,"up"
"199","CEDEN-315FRC",17595477,-119.521,34.4014,"inlet",17596223,"dn"
"200","CEDEN-315FRC",17595477,-119.521,34.4014,"outlet",NA,"up"
"201","CEDEN-315GAN",17595369,-119.876,34.4461,"inlet",NA,"dn"
"202","CEDEN-315GAN",17595369,-119.876,34.4461,"outlet",NA,"up"
"203","CEDEN-315MIS",17595453,-119.694,34.413,"inlet",NA,"dn"
"204","CEDEN-315MIS",17595453,-119.694,34.413,"outlet",NA,"up"
"205","CEDEN-315RIN",17596161,-119.477,34.3769,"inlet",NA,"dn"
"206","CEDEN-315RIN",17596161,-119.477,34.3769,"outlet",NA,"up"
"207","USGS-13154500",23275628,-115.2025,43.0022222,"inlet",NA,"dn"
"208","USGS-13154500",23275628,-115.2025,43.0022222,"outlet",24490652,"up"
"209","USGS-10350340",8931902,-119.5532362,39.5565788,"inlet",NA,"dn"
"210","USGS-10350340",8931902,-119.5532362,39.5565788,"outlet",NA,"up"
"211","21NEV1_WQX-NV06-102-M-006",8932172,-119.9033966,39.5072784,"inlet",NA,"dn"
"212","21NEV1_WQX-NV06-102-M-006",8932172,-119.9033966,39.5072784,"outlet",NA,"up"
"213","21NEV1_WQX-NV06-102-M-007",8932108,-119.82673,39.52025,"inlet",NA,"dn"
"214","21NEV1_WQX-NV06-102-M-007",8932108,-119.82673,39.52025,"outlet",NA,"up"
"215","21NEV1_WQX-NV06-102-M-009",8932668,-119.6793976,39.5141716,"inlet",NA,"dn"
"216","21NEV1_WQX-NV06-102-M-009",8932668,-119.6793976,39.5141716,"outlet",NA,"up"
"217","USGS-12301933",22878293,-115.3187194,48.4006639,"inlet",NA,"dn"
"218","USGS-12301933",22878293,-115.3187194,48.4006639,"outlet",22878297,"up"
"219","USGS-12510500",947030106,-119.4780794,46.2534675,"inlet",NA,"dn"
"220","USGS-12510500",947030106,-119.4780794,46.2534675,"outlet",NA,"up"
"221","CENWWEDH-5DWRI003.0PP",23630894,-116.29702,46.52775,"inlet",23630894,"dn"
"222","CENWWEDH-5DWRI003.0PP",23630894,-116.29702,46.52775,"outlet",23630896,"up"
"223","CENWWEDH-5DWRI019.0PP",23630100,-116.13452,46.6113055,"inlet",23630100,"dn"
"224","CENWWEDH-5DWRI019.0PP",23630100,-116.13452,46.6113055,"outlet",23630102,"up"
"225","CENWWEDH-5DWRI035.0PP",23630210,-115.96811,46.7562777,"inlet",23630210,"dn"
"226","CENWWEDH-5DWRI035.0PP",23630210,-115.96811,46.7562777,"outlet",23630212,"up"
"227","CENWWEDH-5DWRI045.0PP",23630252,-115.85152,46.85125,"inlet",23630252,"dn"
"228","CENWWEDH-5DWRI045.0PP",23630252,-115.85152,46.85125,"outlet",23630254,"up"
"229","CENWWEDH-5DWRIEC4.0PP",23630768,-116.22638,46.6625,"inlet",23630768,"dn"
"230","CENWWEDH-5DWRIEC4.0PP",23630768,-116.22638,46.6625,"outlet",23630770,"up"
"231","CENWWEDH-5NFCIL01.0PP",23630376,-115.915,46.8455555,"inlet",23630376,"dn"
"232","CENWWEDH-5NFCIL01.0PP",23630376,-115.915,46.8455555,"outlet",23630378,"up"
"233","USGS-09522000",21412711,-114.7188444,32.7186587,"inlet",NA,"dn"
"234","USGS-09522000",21412711,-114.7188444,32.7186587,"outlet",21412649,"up"
"235","USGS-09380000",20733845,-111.5878722,36.8643333,"inlet",NA,"dn"
"236","USGS-09380000",20733845,-111.5878722,36.8643333,"outlet",NA,"up"
"237","UTAHDWQ_WQX-4950800",10022912,-113.1757762,37.4072029,"inlet",NA,"dn"
"238","UTAHDWQ_WQX-4950800",10022912,-113.1757762,37.4072029,"outlet",NA,"up"
"239","UTAHDWQ_WQX-4950920",10023786,-113.1071867,37.2616897,"inlet",NA,"dn"
"240","UTAHDWQ_WQX-4950920",10023786,-113.1071867,37.2616897,"outlet",NA,"up"
"241","UTAHDWQ_WQX-4951265",10025682,-112.8827694,37.3709837,"inlet",NA,"dn"
"242","UTAHDWQ_WQX-4951265",10025682,-112.8827694,37.3709837,"outlet",NA,"up"
"243","UTAHDWQ_WQX-4951855",18264525,-112.2010297,37.571368,"inlet",NA,"dn"
"244","UTAHDWQ_WQX-4951855",18264525,-112.2010297,37.571368,"outlet",NA,"up"
"245","UTAHDWQ_WQX-5954520",4901481,-111.2698939,38.1085917,"inlet",4901481,"dn"
"246","UTAHDWQ_WQX-5954520",4901481,-111.2698939,38.1085917,"outlet",NA,"up"
"247","USGS-13056500",23141419,-111.905,43.8258333,"inlet",NA,"dn"
"248","USGS-13056500",23141419,-111.905,43.8258333,"outlet",NA,"up"
"249","USGS-13092747",24491020,-114.4947222,42.5625,"inlet",NA,"dn"
"250","USGS-13092747",24491020,-114.4947222,42.5625,"outlet",NA,"up"
"251","USGS-10168000",10389562,-111.898861,40.6643056,"inlet",NA,"dn"
"252","USGS-10168000",10389562,-111.898861,40.6643056,"outlet",NA,"up"
"253","USGS-10171000",10390290,-111.9232703,40.7335574,"inlet",NA,"dn"
"254","USGS-10171000",10390290,-111.9232703,40.7335574,"outlet",NA,"up"
"255","UTAHDWQ_WQX-4917370",10329241,-111.8299304,40.2682826,"inlet",10329241,"dn"
"256","UTAHDWQ_WQX-4917370",10329241,-111.8299304,40.2682826,"outlet",NA,"up"
"257","UTAHDWQ_WQX-4917390",10329237,-111.7646472,40.2371729,"inlet",10329237,"dn"
"258","UTAHDWQ_WQX-4917390",10329237,-111.7646472,40.2371729,"outlet",10376632,"up"
"259","UTAHDWQ_WQX-4917500",10329179,-111.8716056,40.1696758,"inlet",10329179,"dn"
"260","UTAHDWQ_WQX-4917500",10329179,-111.8716056,40.1696758,"outlet",10329173,"up"
"261","UTAHDWQ_WQX-4930007",10390290,-111.9478892,40.7741301,"inlet",NA,"dn"
"262","UTAHDWQ_WQX-4930007",10390290,-111.9478892,40.7741301,"outlet",NA,"up"
"263","UTAHDWQ_WQX-4930009",10390290,-111.9478892,40.7741301,"inlet",NA,"dn"
"264","UTAHDWQ_WQX-4930009",10390290,-111.9478892,40.7741301,"outlet",NA,"up"
"265","UTAHDWQ_WQX-4936050",11967775,-110.4430696,40.1921767,"inlet",11967775,"dn"
"266","UTAHDWQ_WQX-4936050",11967775,-110.4430696,40.1921767,"outlet",11967777,"up"
"267","UTAHDWQ_WQX-4950051",10390290,-111.9478892,40.7741301,"inlet",NA,"dn"
"268","UTAHDWQ_WQX-4950051",10390290,-111.9478892,40.7741301,"outlet",NA,"up"
"269","UTAHDWQ_WQX-4990190",7913954,-111.966802,41.02286,"inlet",7913954,"dn"
"270","UTAHDWQ_WQX-4990190",7913954,-111.966802,41.02286,"outlet",NA,"up"
"271","UTAHDWQ_WQX-4990640",7913954,-111.91105,40.9093895,"inlet",7913954,"dn"
"272","UTAHDWQ_WQX-4990640",7913954,-111.91105,40.9093895,"outlet",NA,"up"
"273","UTAHDWQ_WQX-4994950",10329043,-111.8354937,40.3685594,"inlet",10329113,"dn"
"274","UTAHDWQ_WQX-4994950",10329043,-111.8354937,40.3685594,"outlet",10329097,"up"
"275","UTAHDWQ_WQX-4994970",10329017,-111.7115327,40.4375871,"inlet",10329119,"dn"
"276","UTAHDWQ_WQX-4994970",10329017,-111.7115327,40.4375871,"outlet",10329095,"up"
"277","UTAHDWQ_WQX-4995120",10328381,-111.76304,40.33189,"inlet",10329259,"dn"
"278","UTAHDWQ_WQX-4995120",10328381,-111.76304,40.33189,"outlet",NA,"up"
"279","UTAHDWQ_WQX-4996100",10348934,-111.64727,40.184,"inlet",10329171,"dn"
"280","UTAHDWQ_WQX-4996100",10348934,-111.64727,40.184,"outlet",NA,"up"
"281","UTAHDWQ_WQX-5913220",10376632,-111.52352,40.40912,"inlet",10376632,"dn"
"282","UTAHDWQ_WQX-5913220",10376632,-111.52352,40.40912,"outlet",10376628,"up"
"283","UTAHDWQ_WQX-5913230",10376622,-111.5037958,40.4252375,"inlet",10376622,"dn"
"284","UTAHDWQ_WQX-5913230",10376622,-111.5037958,40.4252375,"outlet",10376618,"up"
"285","UTAHDWQ_WQX-5914010",10374226,-111.41575,40.60078,"inlet",10376608,"dn"
"286","UTAHDWQ_WQX-5914010",10374226,-111.41575,40.60078,"outlet",10374258,"up"
"287","UTAHDWQ_WQX-5923310",10093170,-111.4046454,40.7863403,"inlet",10093170,"dn"
"288","UTAHDWQ_WQX-5923310",10093170,-111.4046454,40.7863403,"outlet",10093250,"up"
"289","11NPSWRD_WQX-ROMN_GLAC_022",22949817,-114.466,48.9941,"inlet",NA,"dn"
"290","11NPSWRD_WQX-ROMN_GLAC_022",22949817,-114.466,48.9941,"outlet",NA,"up"
"291","11NPSWRD_WQX-ROMN_GLAC_S01",9305916,-113.681,48.7953,"inlet",9306718,"dn"
"292","11NPSWRD_WQX-ROMN_GLAC_S01",9305916,-113.681,48.7953,"outlet",9306682,"up"
"293","11NPSWRD_WQX-ROMN_GLAC_S04",9306126,-113.717,48.6912,"inlet",9306854,"dn"
"294","11NPSWRD_WQX-ROMN_GLAC_S04",9306126,-113.717,48.6912,"outlet",NA,"up"
"295","11NPSWRD_WQX-ROMN_GLAC_S05",22957647,-113.484,48.307,"inlet",NA,"dn"
"296","11NPSWRD_WQX-ROMN_GLAC_S05",22957647,-113.484,48.307,"outlet",NA,"up"
"297","11NPSWRD_WQX-ROMN_GRKO_S01",24293572,-112.746,46.4087,"inlet",24293576,"dn"
"298","11NPSWRD_WQX-ROMN_GRKO_S01",24293572,-112.746,46.4087,"outlet",24293884,"up"
"299","USGS-08364000",943030230,-106.5408218,31.8028849,"inlet",NA,"dn"
"300","USGS-08364000",943030230,-106.5408218,31.8028849,"outlet",NA,"up"
"301","TCEQMAIN-13272",943030230,-106.5403,31.8028,"inlet",NA,"dn"
"302","TCEQMAIN-13272",943030230,-106.5403,31.8028,"outlet",NA,"up"
"303","USGS-09163500",3176490,-109.0270546,39.1327605,"inlet",NA,"dn"
"304","USGS-09163500",3176490,-109.0270546,39.1327605,"outlet",NA,"up"
