"","comid","lon","lat","inletoutlet","tocomid","direction"
"150",13410000,-89.7991667,42.8747222,"outlet",NA,"up"
"151",13296252,-88.6139907,42.5989044,"inlet",13296252,"dn"
"152",13296252,-88.6139907,42.5989044,"outlet",13296254,"up"
"153",6801806,-88.1296944,44.5333889,"inlet",25281296,"dn"
"154",6801806,-88.1296944,44.5333889,"outlet",NA,"up"
"155",12004537,-87.9362121,44.5011042,"inlet",12005077,"dn"
"156",12004537,-87.9362121,44.5011042,"outlet",NA,"up"
"157",12228525,-86.115,44.7018333,"inlet",12228525,"dn"
"158",12228525,-86.115,44.7018333,"outlet",12228227,"up"
"159",89574,-80.4475722,25.2421083,"inlet",12228525,"dn"
"160",89574,-80.4475722,25.2421083,"outlet",NA,"up"
"161",16742583,-80.3956042,26.6581208,"inlet",16742583,"dn"
"162",16742583,-80.3956042,26.6581208,"outlet",16742587,"up"
"163",16742583,-80.44255,26.5978456,"inlet",16742583,"dn"
"164",16742583,-80.44255,26.5978456,"outlet",16742587,"up"
"165",16742583,-80.4431056,26.6006231,"inlet",16742583,"dn"
"166",16742583,-80.4431056,26.6006231,"outlet",16742587,"up"
"167",16742583,-80.4439389,26.6014564,"inlet",16742583,"dn"
"168",16742583,-80.4439389,26.6014564,"outlet",16742587,"up"
"169",16742583,-80.4319942,26.6275664,"inlet",16742583,"dn"
"170",16742583,-80.4319942,26.6275664,"outlet",16742587,"up"
"171",16742583,-80.4344942,26.6347883,"inlet",16742583,"dn"
"172",16742583,-80.4344942,26.6347883,"outlet",16742587,"up"
"173",16742583,-80.4125492,26.6581206,"inlet",16742583,"dn"
"174",16742583,-80.4125492,26.6581206,"outlet",16742587,"up"
"175",16742583,-80.4447722,26.6161781,"inlet",16742583,"dn"
"176",16742583,-80.4447722,26.6161781,"outlet",16742587,"up"
"177",16742583,-80.4455556,26.5982139,"inlet",16742583,"dn"
"178",16742583,-80.4455556,26.5982139,"outlet",16742587,"up"
"179",89748,-80.5126828,26.3791033,"inlet",16742583,"dn"
"180",89748,-80.5126828,26.3791033,"outlet",NA,"up"
"181",89748,-80.9462853,26.4618503,"inlet",16742583,"dn"
"182",89748,-80.9462853,26.4618503,"outlet",NA,"up"
"183",89748,-80.9462853,26.4485369,"inlet",16742583,"dn"
"184",89748,-80.9462853,26.4485369,"outlet",NA,"up"
"185",89748,-80.9464353,26.4480036,"inlet",16742583,"dn"
"186",89748,-80.9464353,26.4480036,"outlet",NA,"up"
"187",89748,-80.9458019,26.4346542,"inlet",16742583,"dn"
"188",89748,-80.9458019,26.4346542,"outlet",NA,"up"
"189",89748,-80.8833972,26.4581833,"inlet",16742583,"dn"
"190",89748,-80.8833972,26.4581833,"outlet",NA,"up"
"191",89748,-80.8832444,26.4510194,"inlet",16742583,"dn"
"192",89748,-80.8832444,26.4510194,"outlet",NA,"up"
"193",89748,-80.8830139,26.4438722,"inlet",16742583,"dn"
"194",89748,-80.8830139,26.4438722,"outlet",NA,"up"
"195",89748,-80.88285,26.4367222,"inlet",16742583,"dn"
"196",89748,-80.88285,26.4367222,"outlet",NA,"up"
"197",89748,-80.8817286,26.3325797,"inlet",16742583,"dn"
"198",89748,-80.8817286,26.3325797,"outlet",NA,"up"
"199",933090022,-80.7942472,27.0827936,"inlet",933090022,"dn"
"200",933090022,-80.7942472,27.0827936,"outlet",933090023,"up"
"201",166757653,-80.972385,26.9567303,"inlet",166757653,"dn"
"202",166757653,-80.972385,26.9567303,"outlet",27807481,"up"
"203",16742591,-80.7834206,26.8217519,"inlet",16742591,"dn"
"204",16742591,-80.7834206,26.8217519,"outlet",16744247,"up"
"205",16742581,-80.7892503,26.9017372,"inlet",16742581,"dn"
"206",16742581,-80.7892503,26.9017372,"outlet",166757652,"up"
"207",16715394,-80.8442242,27.28696,"inlet",16715712,"dn"
"208",16715394,-80.8442242,27.28696,"outlet",NA,"up"
"209",89748,-80.8214528,25.7617686,"inlet",16715712,"dn"
"210",89748,-80.8214528,25.7617686,"outlet",NA,"up"
"211",89748,-80.7270847,25.7624106,"inlet",16715712,"dn"
"212",89748,-80.7270847,25.7624106,"outlet",NA,"up"
"213",89748,-80.8276067,26.1715422,"inlet",16715712,"dn"
"214",89748,-80.8276067,26.1715422,"outlet",NA,"up"
"215",21489440,-80.9183989,27.2107839,"inlet",21489440,"dn"
"216",21489440,-80.9183989,27.2107839,"outlet",NA,"up"
"217",90536,-80.5583931,25.4028922,"inlet",21489440,"dn"
"218",90536,-80.5583931,25.4028922,"outlet",NA,"up"
